`SD07`	`20112012`	`DeSaulnier, Mark`	`S`	`DeSaulnier`	`Mark`	`DeSaulnier`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD08`	`20112012`	`Yee, Leland`	`S`	`Yee`	`Leland`	`Yee`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD09`	`20112012`	`Hancock, Loni`	`S`	`Hancock`	`Loni`	`Hancock`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD10`	`20112012`	`Corbett, Ellen`	`S`	`Corbett`	`Ellen`	`Corbett`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD14`	`20112012`	`Berryhill, Tom`	`S`	`Berryhill`	`Tom`	`Berryhill`	NULL	NULL	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD17`	`20112012`	`Runner, George`	`S`	`George Runner`	`George`	`Runner`	NULL	NULL	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`N`
`SD18`	`20112012`	`Fuller, Jean`	`S`	`Fuller`	`Jean`	`Fuller`	NULL	NULL	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD19`	`20112012`	`Strickland, Tony`	`S`	`Strickland`	`Tony`	`Strickland`	NULL	NULL	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD21`	`20112012`	`Liu, Carol`	`S`	`Liu`	`Carol`	`Liu`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD22`	`20112012`	`De León, Kevin`	`S`	`De León`	`Kevin`	`De León`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD23`	`20112012`	`Pavley, Fran`	`S`	`Pavley`	`Fran`	`Pavley`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD24`	`20112012`	`Hernandez, Ed`	`S`	`Hernandez`	`Ed`	`Hernandez`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD27`	`20112012`	`Lowenthal, Alan`	`S`	`Lowenthal`	`Alan`	`Lowenthal`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD29`	`20112012`	`Huff, Bob`	`S`	`Huff`	`Bob`	`Huff`	NULL	NULL	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD31`	`20112012`	`Dutton, Robert`	`S`	`Dutton`	`Robert`	`Dutton`	NULL	NULL	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD32`	`20112012`	`Negrete McLeod, Gloria`	`S`	`Negrete McLeod`	`Gloria`	`Negrete McLeod`	NULL	NULL	`Senator`	`Senator`	`DEM`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD33`	`20112012`	`Walters, Mimi`	`S`	`Walters`	`Mimi`	`Walters`	NULL	NULL	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
`SD35`	`20112012`	`Harman, Tom`	`S`	`Harman`	`Tom`	`Harman`	NULL	NULL	`Senator`	`Senator`	`REP`	`Y`	`LEG_ESI`	2010-11-15 10:01:42	`Y`
